archive_rank,slug,source_url,asset_system_breadth,asset_categories,retained_formats,referenced_formats,runtime_signals,retained_asset_files,retained_asset_bytes
1498,basement-studio-1,https://basement.studio/,2,3d_model | environment_map,,exr | glb,,0,0
1602,opportunities-for-our-avatars,https://atelier.net/social-mobility/economic-opportunities-for-our-avatars/,2,3d_model | webassembly,,glb | gltf | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
1623,magical-reflections,https://www.magische-spiegelungen.de,2,3d_model | gpu_texture,,glb | gltf | ktx,gltf_loader | lottie_runtime | shader_source | web_worker | webxr,0,0
1655,henri-heymans-2021-portfolio,https://henriheymans.com,2,3d_model | webassembly,,gltf | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
1675,new-world-map-1,https://newworld-preview-0521.dev.60fps.fr/en-us/,2,3d_model | webassembly,,glb | obj | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
1698,who-is-playing-the-guqin,https://pvp.qq.com/act/6749/a20210927pf/index.html,2,3d_model | gpu_texture,,dds | glb,draco_decoder | gltf_loader | lottie_runtime | offscreen_canvas | shader_source,0,0
1725,skolkovo-business-district,https://skolkovoforbusiness.ru/en/features/#home,2,3d_model | gpu_texture,,dds | gltf,draco_decoder | gltf_loader | lottie_runtime | offscreen_canvas | shader_source,0,0
2011,htttwkar,https://howtotalktowhitekidsaboutracism.com/,2,3d_model | gpu_texture,,dds | glb,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source,0,0
2064,kode,https://www.kodeclubs.com/,2,3d_model | webassembly,,glb | wasm,basis_ktx2_transcoder | draco_decoder,0,0
2116,gusto-play-2,https://play2.studiogusto.com/,2,gpu_texture | webassembly,,dds | wasm,draco_decoder | gltf_loader | lottie_runtime | offscreen_canvas | shader_source | web_worker,0,0
2162,next-big-thing,https://nextbigthing.ag/,2,vector_animation | webassembly,,riv | wasm,lottie_runtime | rive_runtime | shader_source | webassembly_runtime,0,0
2180,annatwelve-fragrances,https://www.annatwelve.com/en,2,3d_model | gpu_texture,,basis | obj,shader_source,0,0
2226,the-virtual-economy,https://atelier.net/virtual-economy/,2,3d_model | gpu_texture,,dds | gltf,draco_decoder | gltf_loader | lottie_runtime | offscreen_canvas | shader_source,0,0
2274,degenesis,https://degenesis.com,2,3d_model | gpu_texture,,basis | obj,,0,0
2298,pitok-motor-museum,https://www.pitokmm.it/,2,3d_model | gpu_texture,,basis | obj,,0,0
2307,playful-creative-collective,https://helloplayful.com/,2,3d_model | gpu_texture,,basis | obj,,0,0
2408,esperanto,https://esperanto.design/,2,3d_model | shader,,frag | obj,lottie_runtime | offscreen_canvas | shader_source | webxr,0,0
2479,fila-explore,https://filaexplore.com/,2,3d_model | gpu_texture,,basis | obj,offscreen_canvas | shader_source | webxr,0,0
